Input 1		Input 2	
X(None)	Y(None)	X(None)	Y(None)
550	0.252686194356736	550	0.503024968176953
572	0.252690860531294	572	0.503597761692017
594	0.252709023115887	594	0.504842404911916
616	0.25279777010152	616	0.507797928289514
638	0.253097678062711	638	0.513535263954085
660	0.253854570281328	660	0.523381189552561
22	0	22	0
44	0	44	1.813792413675e-299
66	3.48107939203801e-206	66	1.63373628218397e-133
88	8.29754280843062e-122	88	1.04009056118046e-48
110	1.91150019081403e-77	110	3.60971909904762e-13
132	6.82420875530208e-46	132	0.0555943344238922
154	1.48154784751016e-28	154	0.252663397284877
176	3.77833874881734e-17	176	0.252685546873976
198	6.96102940127868e-10	198	0.252685546875
220	1.87823109971904e-5	220	0.252685546875001
242	0.00595718903264155	242	0.252685547092143
264	0.084331512820779	264	0.252687556813201
286	0.2062001962629	286	0.253372658796507
308	0.247358810741044	308	0.26795650408094
330	0.252415187236408	330	0.32515677064676
352	0.252673705063589	352	0.405418837911134
374	0.252684958537083	374	0.472913756190296
396	0.2526855237687	396	0.498241403242535
418	0.25268554636574	418	0.502562859472598
440	0.252685549226559	440	0.502935943287519
462	0.252685671782819	462	0.503059477451929
484	0.252687624608595	484	0.503674102323215
506	0.252712437096845	506	0.506101214594178
528	0.252894350179935	528	0.513225002965062
550	0.253835311778564	550	0.528630649962097
572	0.257266764585341	572	0.55505678648043
594	0.265317926839572	594	0.591369479070892
616	0.280143264302485	616	0.633511472812887
638	0.303169304182371	638	0.675799686540033
660	0.332830289963452	660	0.714223614889508
22	0	22	0
44	0	44	4.7385595824491e-301
66	3.27808601599551e-210	66	2.23312131563398e-107
88	1.75303808304902e-116	88	5.2448168062277e-24
110	1.0788748051062e-66	110	0.0449499456823922
132	5.78192197550214e-35	132	0.252685524147913
154	3.58576164326791e-18	154	0.252685546875
176	6.03428848609695e-9	176	0.252685546875
198	0.0007624144714965	198	0.252685546875011
220	0.0790664288650397	220	0.252685609355762
242	0.231843586028621	242	0.253088264608083
264	0.252304139285631	264	0.281724088462895
286	0.252682412061502	286	0.374241880030461
308	0.252685520150327	308	0.469103017560796
330	0.2526855468433	330	0.500328775917289
352	0.252685546874909	352	0.502890968689673
374	0.252685546887698	374	0.502931422582407
396	0.252685553547864	396	0.502984779355864
418	0.252686163587394	418	0.503651596739784
440	0.252712729858625	440	0.507607076720842
462	0.25312741445921	462	0.522591975146798
484	0.255979990682301	484	0.557523790474838
506	0.267227731178997	506	0.610135997685789
528	0.292659576216265	528	0.666922702913793
550	0.331090945105319	550	0.714995350539765
572	0.377486336338426	572	0.755250150792961
594	0.422021425484881	594	0.791982978949076
616	0.458514586179776	616	0.827222150351504
638	0.482754569864921	638	0.859942676057406
660	0.494977697124945	660	0.889962426324153
22	0	22	0
44	0	44	4.40747302411803e-286
66	2.78639979558832e-206	66	5.87113810953228e-74
88	3.22936398708481e-106	88	2.61334287592429e-6
110	9.00076863714166e-53	110	0.252685525365304
132	2.25721869648713e-23	132	0.252685546875
154	2.17451983552574e-9	154	0.252685546875
176	0.00303778049830165	176	0.252685546875004
198	0.183721444548509	198	0.252686479395406
220	0.252093200644996	220	0.259923429650263
242	0.252684845939197	242	0.357028360068211
264	0.252685546710584	264	0.473549088494037
286	0.252685546874968	286	0.502372111460708
308	0.252685546875	308	0.502929210718171
330	0.252685546875695	330	0.502930387643623
352	0.252685549154411	352	0.50299014813514
374	0.25268656407111	374	0.504307261903633
396	0.252777099757813	396	0.515113162274094
418	0.254838871373928	418	0.555339593421023
440	0.268941786886751	440	0.626936600934924
462	0.306235500340808	462	0.69631990150324
484	0.359098103638628	484	0.743216540778065
506	0.417005878344614	506	0.784239081664016
528	0.464932905593796	528	0.82621574901414
550	0.489868893836303	550	0.867791131392909
572	0.499564209187025	572	0.904560061022756
594	0.502312143692534	594	0.933390097446351
616	0.502843909010649	616	0.953613209937558
638	0.502938078787269	638	0.967444759635427
660	0.503041575314705	660	0.976710882630773
22	0	22	0
44	0	44	4.19522071044715e-258
66	3.99048238633851e-196	66	5.69819214641985e-41
