Input 1	
X(None)	Y(None)
2640	-19.1570066177252
88	19.2107156376944
176	14.1066911998283
264	10.5131537518844
352	8.09656390097828
440	6.01779902083385
528	4.26616640171046
616	2.71081483246478
704	1.2747598377646
792	-0.059667939013331
880	-1.32318000760912
968	-2.55814757797027
1056	-3.72883550869343
1144	-4.90453192336299
1232	-6.08710896173936
1320	-7.32554972349633
1408	-8.518649853447
1496	-9.79599992989295
1584	-11.0358422198763
1672	-12.3562119083905
1760	-13.6977698959971
1848	-15.1331299658575
1936	-16.6685953627276
2024	-18.164041488136
2112	-19.7377900364847
2200	-21.1978428125389
2288	-22.2800927111476
2376	-23.1722191682098
2464	-23.856415928787
2552	-24.4889650339446
2640	-24.4387818547001
88	17.5999622071502
176	12.1345586942679
264	8.47212711947599
352	5.91731263144879
440	3.72491237331541
528	1.84067838307502
616	0.132835567929619
704	-1.47698044102379
792	-3.01602610661046
880	-4.51699395828643
968	-6.01728711091257
1056	-7.50669931042843
1144	-9.04812044679093
1232	-10.6233751249878
1320	-12.3289152378873
1408	-14.0840303103468
1496	-15.9346452526225
1584	-17.7851552328272
1672	-19.6068899630988
1760	-21.2096590110396
1848	-22.4538963702982
1936	-23.3779457468661
2024	-24.0485438528785
2112	-24.2551939683714
2200	-24.4289575826823
2288	-24.4994589961417
2376	-24.5557602102171
2464	-24.500383075145
2552	-24.3957892664394
2640	-24.1072248516473
