after NLPN mitigation		with NLPN	
X(None)	Y(None)	X(None)	Y(None)
1056	0.542856928419101	1056	0.528726060196919
1144	0.584717643603051	1144	0.572607516940537
1232	0.621554518380565	1232	0.611475921594542
1320	0.65574708931691	1320	0.647583264314878
1408	0.684009760375267	1408	0.677438207881744
1496	0.710686967098584	1496	0.70605861245871
1584	0.731389987449335	1584	0.728104094377698
1672	0.751574350529793	1672	0.750090131306918
1760	0.769245465198154	1760	0.769186630398725
1848	0.784905468778845	1848	0.786197970693298
1936	0.799604464280003	1936	0.801801883649088
2024	0.811892820146015	2024	0.815187682539591
2112	0.823976013340338	2112	0.82802476122623
2200	0.834976826674364	2200	0.839519607298356
2288	0.844113313302347	2288	0.849482128958119
2376	0.852763249021838	2376	0.858250683312637
2464	0.860630997703948	2464	0.86666704318721
2552	0.867583581826473	2552	0.874070162548311
2640	0.874369208400872	2640	0.881128304759524
88	1.47798458611642e-5	88	1.0994104250749e-5
176	0.00392343758378217	176	0.0034373896202142
264	0.0443943567253745	264	0.0401629528155978
352	0.104636809494339	352	0.0961703238872233
440	0.19041494926798	440	0.176808612602363
528	0.280263255111516	528	0.263023087515968
616	0.366637132021232	616	0.348841244491524
704	0.444640927286948	704	0.427037940141014
792	0.510642292387261	792	0.495130037808985
880	0.568217868495738	880	0.555596436413619
968	0.617615065267719	968	0.607407851669443
1056	0.657713662086646	1056	0.649393587038119
1144	0.692602604363339	1144	0.686583155064358
1232	0.722459627218899	1232	0.718877860014191
1320	0.749572684007838	1320	0.747771804534279
1408	0.771910568774992	1408	0.771205033786299
1496	0.792228920814453	1496	0.793100049381999
1584	0.808198165867283	1584	0.810592414262399
1672	0.823294191468996	1672	0.82709243977123
1760	0.836179816420057	1760	0.840850432402922
1848	0.84747360985093	1848	0.853212970874835
1936	0.857926707145263	1936	0.864255349884691
2024	0.86666481640738	2024	0.873628677306473
2112	0.874979264943023	2112	0.882242002040688
2200	0.882260032562845	2200	0.88999795078493
2288	0.888404548133403	2288	0.896509287806432
2376	0.894134335767629	2376	0.902206797686246
2464	0.898934133446125	2464	0.907417668241781
2552	0.903460465109599	2552	0.912042904122598
2640	0.907602667003435	2640	0.916170545056278
88	0.00011872530134829	88	9.43494441643465e-5
176	0.016144202141557	176	0.0142056011569215
264	0.0954508022404952	264	0.0870396985577703
352	0.19366865726514	352	0.179559306930746
440	0.307861522288085	440	0.290021797940117
528	0.4114010314812	528	0.39314571864866
616	0.499921410227714	616	0.483863226987752
704	0.573264954043813	704	0.559789685723754
792	0.632149340793973	792	0.62164447920548
880	0.680634900518902	880	0.673308394979562
968	0.720811969169191	968	0.716033135127121
1056	0.752693647546063	1056	0.749959588265959
1144	0.779736815993729	1144	0.779162831759971
1232	0.802455115237318	1232	0.804108420193184
1320	0.822524453127963	1320	0.825674609933491
1408	0.83870234308846	1408	0.842752111750039
1496	0.853120188131163	1496	0.85831845401499
1584	0.864433030437906	1584	0.870850121052474
1672	0.87484628029621	1672	0.882088468395401
1760	0.883629722502347	1760	0.891211174656556
1848	0.891242841831075	1848	0.899216992218729
1936	0.898070573841205	1936	0.906151925185856
2024	0.903550612523589	2024	0.911810774153632
2112	0.908815852753302	2112	0.916907994648032
2200	0.913390531617189	2200	0.921164031466237
2288	0.917021972617942	2288	0.924620078859149
2376	0.920558692381293	2376	0.927477179553744
2464	0.923302522432928	2464	0.929864358567911
2552	0.925652459326924	2552	0.931601821373747
2640	0.927760581344595	2640	0.932851154576023
88	0.00086914148513028	88	0.00072208487840908
176	0.0471262268282043	176	0.0420060193951581
264	0.177027597430968	264	0.163049127883024
352	0.312747801072029	352	0.294280235713614
440	0.441780707031774	440	0.423527385022765
528	0.544057282840663	528	0.528638262950721
616	0.623625421831405	616	0.612356869183392
704	0.685496987336444	704	0.677680181412062
792	0.733550092161801	792	0.728679921839684
880	0.771275657058547	880	0.769367783447776
968	0.801544553811261	968	0.802064474401155
1056	0.825277235545756	1056	0.827582534231777
1144	0.844831125643351	1144	0.8489385041936
1232	0.860975084166556	1232	0.866587414727293
1320	0.874825124836464	1320	0.881232706458883
1408	0.885836050523608	1408	0.892779355501962
1496	0.895359007341429	1496	0.902545324247864
1584	0.902878385297785	1584	0.910097934530919
1672	0.909481478515212	1672	0.916564655058375
1760	0.91488857498301	1760	0.921591761507348
1848	0.919582087769064	1848	0.92571761474191
